0	Car	HK	0-100	KM driven	KM/L	Price	Year	Doors	Motor
1	Volvo V60	190.0	7.7	8	22.7	459900	2018	5.0	2.0
2	VW Passat	115.0	11.2	264	12.0	29900	2002	4.0	2.0
3	Audi A5	204.0	7.1	122	20.4	429900	2013	5.0	3.0
4	VW Golf	110.0	10.5	31	26.3	239900	2016	5.0	1.6
5	Skoda Superb	120.0	11.0	53	23.8	324900	2016	5.0	1.6
6	Peugeot 2008	100.0	11.3	5	28.6	209990	2017	5.0	1.6
7	Toyota Avensis	132.0	10.6	49	15.4	174900	2015	5.0	1.6
8	Audi A6	177.0	8.5	108	19.6	329900	2014	5.0	2.0
9	VW Tiguan	110.0	11.9	113	18.9	239900	2014	5.0	2.0
10	Volvo V60	150.0	9.1	55	23.8	349700	2017	5.0	2.0
11	Citroën C3	75.0	14.1	7	31.3	149900	2017	5.0	1.6
12	Mazda 6	150.0	9.8	36	20.8	339800	2015	4.0	2.2
13	Renault Clio	90.0	12.1	9	31.3	147900	2016	5.0	1.5
14	Skoda Superb	120.0	11.0	51	23.8	339900	2016	5.0	1.6
15	Mercedes 250	150.0	10.5	82	9.0	179900	1970	2.0	2.5
16	Audi A1	116.0	9.5	21	27.0	209900	2016	5.0	1.6
17	Skoda Citigo	60.0	14.4	2	23.2	129900	2017	5.0	1.0
18	Kia Sportage	115.0	11.5	4	21.7	299900	2017	5.0	1.7
19	Toyota Yaris	69.0	15.3	12	23.3	144900	2017	5.0	1.0
20	Peugeot 508	114.0	11.3	12	22.7	239800	2014	4.0	1.6
21	Mercedes C220	170.0	7.6	57	22.7	379900	2014	5.0	2.2
22	Mercedes C43	367.0	4.8	24	12.0	1099900	2017	2.0	3.0
23	BMW 320d	177.0	8.1	217	20.8	149900	2010	5.0	2.0
24	Nissan Juke	115.0	10.8	26	17.5	172900	2016	5.0	1.2
25	Audi A5	143.0	9.4	58	22.2	274900	2013	5.0	2.0
26	BMW X4	258.0	5.8	127	16.9	499900	2015	5.0	3.0
27	Skoda Superb	150.0	8.9	54	24.4	359900	2016	5.0	2.0
28	Ford Ka	85.0	13.9	3	20.8	132800	2016	5.0	1.2
29	Ford Mondeo	115.0	11.2	130	23.3	129800	2011	5.0	1.6
30	Nissan Leaf	109.0	11.5	8	19.92199619113573	204700	2016	5.0	1.8356920684292384
31	Mercedes ML320	224.0	8.6	295	10.4	199800	2009	5.0	3.0
32	BMW 525d	218.0	7.1	103	20.4	409800	2014	5.0	2.0
33	Mercedes CLA250	211.0	6.5	19	15.6	539900	2017	4.0	2.0
34	Audi A4	136.0	9.6	100	23.8	289900	2015	5.0	2.0
35	Ford Fiesta	100.0	10.5	2	23.3	164900	2017	5.0	1.0
36	Mercedes B200	136.0	9.3	26	22.2	299700	2014	5.0	1.8
37	Ford Mondeo	160.0	9.3	45	16.9	249900	2015	5.0	1.5
38	DS DS	100.0	10.8	81	33.3	99900	2016	3.0	1.6
39	Fiat 500C	80.0	11.0	0	26.3	129990	2018	2.0	0.9
40	Renault Megane	110.0	11.3	9	30.3	189900	2016	5.0	1.5
41	Mercedes C350	211.0	5.9	27	19.92199619113573	479900	2016	4.0	2.0
42	Chevrolet Cruze	125.0	10.3	136	18.2	65900	2010	4.0	2.0
43	Renault Megane	110.0	11.3	8	30.3	184900	2016	5.0	1.5
44	Smart Forfour	71.0	16.9	26	23.8	84900	2015	5.0	1.0
45	Kia Rio	84.0	12.9	12	21.3	139900	2017	5.0	1.2
46	Opel Insignia	170.0	8.9	9	18.9	399900	2018	5.0	2.0
47	BMW 520d	190.0	7.8	1	22.2	600000	2017	5.0	2.0
48	Mercedes C200	184.0	8.8	114	12.5	199900	2009	5.0	1.8
49	Peugeot 308	130.0	10.0	2	21.7	239990	2017	5.0	1.2
50	Renault Megane	110.0	11.3	4	30.3	184900	2016	5.0	1.5
51	Audi A4	180.0	8.6	74	13.7	229900	2011	5.0	2.0
52	Audi A6	204.0	7.4	99	19.2	369900	2013	5.0	3.0
53	Opel Insignia	140.0	11.0	172	25.6	149800	2015	5.0	2.0
54	VW Golf	150.0	8.9	129	22.2	199800	2014	5.0	2.0
55	Mercedes CLA45	360.0	4.6	103	14.5	579900	2014	4.0	2.0
56	Ford Fiesta	120.0	9.9	66	17.2	84900	2011	3.0	1.6
57	Hyundai i30	140.0	9.5	4	18.2	279900	2017	5.0	1.4
58	Kia Ceed	128.0	11.2	73	23.8	134900	2013	5.0	1.6
59	Renault Megane	110.0	11.3	3	30.3	184900	2017	5.0	1.5
60	BMW 435i	306.0	5.1	72	13.9	539900	2015	2.0	3.0
61	Hyundai i30	110.0	11.1	8	26.3	169700	2017	5.0	1.6
62	Citroën C4	100.0	10.7	32	32.3	139900	2016	5.0	1.6
63	Mercedes CLS350	265.0	6.6	52	16.7	649900	2014	5.0	3.0
64	Fiat 500	69.0	12.9	75	20.8	59900	2012	3.0	1.2
65	Citroën C1	68.0	13.7	80	23.3	51900	2013	5.0	1.0
66	Renault Grand	130.0	10.5	58	22.7	199000	2015	5.0	1.6
67	Volvo V40	115.0	11.9	55	26.3	204900	2015	5.0	1.6
68	Renault Grand	110.0	10.266262975778547	5	25.0	269900	2017	5.0	1.5
69	Nissan Note	88.0	13.1	120	15.9	44900	2008	5.0	1.4
70	Dacia Sandero	90.0	11.8	39	26.3	119900	2016	5.0	1.5
71	Audi A8	250.0	7.0	109	15.6	629900	2013	4.0	3.0
72	Skoda Citigo	75.0	13.2	13	22.2	119800	2016	5.0	1.0
73	VW Phaeton	450.0	6.1	77	6.9	539900	2010	4.0	6.0
74	Audi A3	102.0	12.2	139	14.5	117900	2011	5.0	1.6
75	Toyota Yaris	100.0	11.8	8	19.92199619113573	174900	2017	5.0	1.5
76	VW Jetta	140.0	9.5	144	20.8	139900	2011	4.0	2.0
77	BMW X1	150.0	9.2	40	23.3	379900	2016	5.0	2.0
78	Peugeot 5008	114.0	12.9	79	21.3	184900	2014	5.0	1.6
79	VW Up	60.0	14.4	14	24.4	104900	2017	5.0	1.0
80	Suzuki S	120.0	11.0	75	18.5	119900	2013	5.0	1.6
81	Subaru Outback	150.0	9.7	210	15.6	129800	2010	5.0	2.0
82	Opel Insignia	130.0	11.6	219	19.6	99900	2011	5.0	2.0
83	Nissan Qashqai	163.0	9.1	16	17.2	284900	2017	5.0	1.6
84	Ford Fiesta	125.0	9.4	94	23.3	114800	2015	5.0	1.0
85	BMW 320i	184.0	7.5	15	16.9	339900	2016	5.0	2.0
86	VW Golf	105.0	10.5	340	13.1	12500	2001	3.0	1.6
87	Land Rover	190.0	12.7	116	10.0	349900	2008	5.0	2.7
88	Opel Zafira	170.0	9.9	129	16.4	284900	2015	5.0	2.0
89	Mercedes R500	306.0	7.0	208	7.5	289700	2008	5.0	5.0
90	Nissan Micra	80.0	13.7	15	20.0	84700	2013	5.0	1.2
91	Citroën Grand	150.0	10.2	23	23.3	279700	2016	5.0	2.0
92	Nissan Qashqai	163.0	9.1	10	17.2	279800	2017	5.0	1.6
93	Hyundai i30	120.0	11.1	3	20.0	219900	2017	5.0	1.0
94	Peugeot 3008	110.0	12.2	115	19.6	99900	2010	5.0	1.6
95	Audi A4	177.0	8.1	92	20.4	319800	2014	5.0	2.0
96	Kia Ceed	100.0	13.5	80	16.4	134800	2014	5.0	1.4
97	Renault Clio	90.0	12.2	32	22.2	113900	2014	5.0	0.9
98	Skoda Octavia	90.0	10.266262975778547	27	26.3	229900	2016	5.0	1.6
99	BMW 330e	252.0	6.1	15	19.92199619113573	469900	2016	4.0	2.0
100	Alfa Romeo	150.0	8.8	26	23.8	229900	2015	5.0	2.0
101	Nissan Qashqai	130.0	9.9	10	21.7	279800	2016	5.0	1.6
102	Audi A3	140.0	8.4	58	20.8	229900	2014	5.0	1.4
103	Ford Mondeo	150.0	9.5	16	23.8	289000	2015	5.0	2.0
104	Volvo S90	235.0	7.0	5	20.8	779900	2018	4.0	2.0
105	Volvo S90	235.0	7.0	5	20.8	779900	2018	4.0	2.0
106	Audi A3	150.0	8.7	29	23.8	259900	2014	5.0	2.0
107	Nissan Micra	80.0	13.7	14	20.0	84800	2013	5.0	1.2
108	Opel Crossland	81.0	14.0	11	19.6	184900	2017	5.0	1.2
109	Jaguar XK	385.0	5.6	35	8.9	599900	2010	2.0	5.0
110	VW CC	210.0	7.3	84	13.7	269900	2013	4.0	2.0
111	Ford Mondeo	150.0	10.0	62	20.4	267000	2015	5.0	2.0
112	Toyota Aygo	68.0	14.2	61	23.3	59900	2012	5.0	1.0
113	Volvo V60	190.0	7.7	16	22.7	399900	2017	5.0	2.0
114	VW Multivan	180.0	11.3	70	13.2	639000	2014	4.0	2.0
115	VW Touran	105.0	12.8	158	21.7	189900	2015	5.0	1.6
116	Mercedes C200	184.0	7.5	100	17.9	344900	2015	5.0	2.0
117	Audi A4	163.0	8.8	186	12.1	94900	2006	5.0	1.8
118	Ford S	180.0	9.5	9	19.2	429900	2017	5.0	2.0
119	Honda Civic	120.0	10.4	21	25.6	189900	2015	5.0	1.6
120	Mazda CX	165.0	9.2	69	16.7	229900	2012	5.0	2.0
121	Peugeot 308	120.0	10.1	14	31.3	189900	2017	5.0	1.6
122	Toyota Aygo	69.0	14.0	60	26.3	74900	2015	5.0	1.0
123	Fiat 500	69.0	12.9	28	21.3	79700	2012	3.0	1.2
124	Kia Picanto	67.0	14.3	1	23.8	154900	2018	5.0	1.0
125	Ford C	140.0	9.6	110	19.6	149900	2011	5.0	2.0
126	Mercedes CLA200	156.0	8.8	42	17.2	299700	2015	5.0	1.6
127	Kia Optima	136.0	10.3	78	20.4	179900	2015	4.0	1.7
128	Volvo V50	115.0	11.5	94	23.3	169900	2012	5.0	1.6
129	BMW 320d	184.0	7.9	76	19.6	349700	2014	5.0	2.0
130	Mercedes E280	190.0	7.6	451	13.9	99700	2008	4.0	3.0
131	Peugeot 308	120.0	10.1	91	30.3	174900	2014	5.0	1.6
132	Renault Grand	110.0	12.8	138	24.4	119900	2012	5.0	1.5
133	Opel Astra	105.0	11.2	15	22.7	199900	2017	5.0	1.0
134	Citroën C3	75.0	14.1	23	31.3	134500	2017	5.0	1.6
135	Hyundai i30	110.0	11.1	14	27.8	169700	2015	5.0	1.6
136	Ford Mondeo	163.0	9.1	93	21.7	219900	2014	5.0	2.0
137	Citroën Grand	120.0	13.6	0	25.0	264990	2018	5.0	1.6
138	Volvo V40	152.0	8.3	25	18.2	314900	2017	5.0	2.0
139	Audi A3	105.0	10.9	149	26.3	164900	2014	5.0	1.6
140	Kia Sportage	141.0	11.5	0	20.4	340362	2017	5.0	1.7
141	BMW 116i	136.0	8.5	78	17.5	209700	2012	5.0	1.6
142	Toyota Verso	136.0	10.0	133	15.9	143700	2009	5.0	2.2
143	Skoda Octavia	105.0	11.0	87	26.3	199900	2014	5.0	1.6
144	Volvo V40	152.0	8.3	11	18.2	299900	2018	5.0	2.0
145	Citroën C5	110.0	13.4	120	17.9	79990	2009	4.0	1.6
146	BMW 118i	136.0	8.5	6	18.9	259700	2016	5.0	1.5
147	Mitsubishi Colt	109.0	10.5	69	15.2	99900	2007	2.0	1.5
148	Suzuki Vitara	120.0	11.5	41	18.9	199700	2015	5.0	1.6
149	Peugeot 308	92.0	12.8	122	27.8	109900	2014	5.0	1.6
150	Kia Ceed	128.0	11.2	101	22.7	169900	2015	5.0	1.6
151	Opel Insignia	165.0	9.2	17	16.4	349900	2018	5.0	1.5
152	VW Caddy	102.0	13.4	3	19.6	419900	2017	4.0	2.0
153	Mercedes C220	170.0	8.3	222	19.2	214900	2012	5.0	2.2
154	Peugeot 3008	120.0	11.6	18	23.8	274500	2016	5.0	1.6
155	BMW 535d	313.0	5.1	153	17.9	519900	2014	4.0	3.0
156	BMW 520d	184.0	8.4	99	19.2	399800	2014	5.0	2.0
157	BMW 320d	184.0	7.7	98	21.3	269900	2013	5.0	2.0
158	Kia Ceed	136.0	10.5	20	25.6	199900	2016	5.0	1.6
159	Skoda Octavia	180.0	7.4	66	17.5	219900	2013	5.0	1.8
160	Skoda Octavia	115.0	10.3	12	25.6	274900	2018	5.0	1.6
161	Citroën C5	163.0	9.3	113	19.6	179900	2014	5.0	2.0
162	Skoda Octavia	150.0	8.7	156	22.2	177000	2014	5.0	2.0
163	Audi A4	136.0	9.8	115	21.3	199900	2013	5.0	2.0
164	VW Touareg	262.0	7.3	95	15.2	644800	2015	5.0	3.0
165	Audi A5	180.0	8.9	138	13.5	279900	2009	2.0	2.0
166	Hyundai i30	110.0	11.0	8	26.3	224800	2017	5.0	1.6
167	Mercedes E63	585.0	3.7	33	9.5	1349900	2015	5.0	5.5
168	Suzuki Celerio	68.0	13.5	1	23.3	97900	2017	5.0	1.0
169	Nissan Qashqai	115.0	11.3	20	17.9	229500	2016	5.0	1.2
170	Kia Ceed	120.0	11.4	7	19.2	199900	2017	5.0	1.0
171	Ford Ka	85.0	13.9	7	20.8	112900	2017	5.0	1.2
172	VW Polo	150.0	7.8	18	21.3	204900	2016	5.0	1.4
173	Audi Q7	245.0	7.8	69	13.5	769900	2014	5.0	3.0
174	Peugeot 2008	82.0	13.5	9	20.4	174900	2016	5.0	1.2
175	Nissan Qashqai	130.0	11.1	14	21.3	274700	2016	5.0	1.6
176	VW Golf	140.0	9.3	119	16.7	119900	2008	5.0	2.0
177	Opel Astra	150.0	8.9	35	20.4	224900	2016	5.0	1.4
178	BMW 535d	300.0	5.7	164	15.9	399900	2011	5.0	3.0
179	Peugeot 308	120.0	10.1	11	30.3	229800	2016	5.0	1.6
180	Audi A4	150.0	9.2	114	25.0	309900	2016	5.0	2.0
181	BMW 320d	184.0	8.0	60	20.4	309900	2014	5.0	2.0
182	Volvo V90	235.0	7.2	25	20.4	698900	2017	5.0	2.0
184	Citroën C4	92.0	12.9	84	23.8	109900	2012	5.0	1.6
185	Skoda Superb	140.0	10.1	153	21.7	199600	2014	5.0	2.0
186	Renault Scenic	110.0	12.4	91	20.4	109900	2011	5.0	1.5
187	Kia Ceed	100.0	13.5	27	16.4	137500	2013	5.0	1.4
188	Mazda 3	165.0	8.2	76	17.2	169900	2014	5.0	2.0
189	Mazda 2	75.0	14.9	16	20.0	99800	2014	5.0	1.3
190	Ford Grand	125.0	12.2	68	19.2	214500	2015	5.0	1.0
191	Nissan Almera	115.0	12.7	130	13.0	39900	2005	5.0	1.8
192	Kia Pro	100.0	12.7	5	17.9	164900	2017	3.0	1.4
193	Suzuki Grand	128.0	12.0	249	10.8	29900	2002	5.0	2.0
194	Opel Insignia	136.0	11.4	9	19.6	309900	2017	5.0	1.6
195	Alfa Romeo	150.0	8.8	99	23.8	162000	2014	5.0	2.0
196	Renault Captur	90.0	13.5	21	26.3	199700	2016	5.0	1.5
197	Kia Ceed	120.0	11.1	11	20.4	224800	2016	5.0	1.0
198	VW Passat	150.0	8.9	18	22.2	359500	2017	5.0	2.0
199	Renault Clio	90.0	12.2	36	22.2	113900	2014	5.0	0.9
200	Skoda Octavia	150.0	8.4	311	12.7	29900	2001	5.0	1.8
201	Nissan Qashqai	130.0	10.9	122	19.6	159900	2011	5.0	1.6
202	Hyundai i30	140.0	9.5	9	18.2	279800	2018	5.0	1.4
203	Mercedes CLA200	136.0	9.5	6	23.8	369900	2017	4.0	2.2
204	Ford Focus	125.0	11.2	3	20.8	227800	2017	5.0	1.0
205	Ford Focus	120.0	10.7	22	26.3	194900	2016	5.0	1.5
206	Peugeot 208	82.0	12.2	30	22.2	112900	2015	5.0	1.2
207	BMW 320d	163.0	7.8	66	26.3	289800	2015	4.0	2.0
208	Suzuki Celerio	68.0	13.5	2	23.3	97900	2017	5.0	1.0
209	Fiat Grande	75.0	13.6	96	22.2	39900	2008	5.0	1.3
210	Suzuki Celerio	68.0	13.5	2	23.3	97900	2017	5.0	1.0
211	Fiat Grande	75.0	13.6	96	22.2	39900	2008	5.0	1.3
212	VW Touran	140.0	9.9	98	20.8	179700	2011	5.0	2.0
213	Toyota Auris	136.0	10.9	8	19.92199619113573	219900	2016	5.0	1.8
214	Peugeot 3008	130.0	10.6	14	20.0	284900	2017	5.0	1.2
215	Peugeot 308	112.0	11.4	159	26.3	89900	2013	5.0	1.6
216	Kia Carens	141.0	10.4	7	22.2	269900	2016	5.0	1.7
217	Skoda Octavia	105.0	10.8	75	26.3	164900	2014	5.0	1.6
218	Audi A4	177.0	8.1	103	20.4	279800	2013	5.0	2.0
219	Mitsubishi Space	80.0	11.7	3	24.4	104900	2016	5.0	1.2
220	Nissan Juke	110.0	11.2	10	25.0	209800	2017	5.0	1.5
221	Mercedes GLC350	258.0	6.2	18	16.9	819900	2016	5.0	3.0
222	Dacia Duster	109.0	12.2	83	20.8	129700	2014	5.0	1.5
223	Hyundai i30	100.0	13.2	57	17.9	104900	2013	5.0	1.4
224	Mazda CX	150.0	9.4	8	20.0	319900	2017	5.0	2.2
225	Hyundai i10	87.0	13.8	0	16.9	169700	2017	5.0	1.2
226	Peugeot 307	138.0	9.8	245	12.0	29900	2005	5.0	2.0
227	Audi R8	525.0	4.1	13	7.2	2200000	2010	2.0	5.2
228	Kia Niro	141.0	10.8	0	19.92199619113573	304999	2018	5.0	1.6
229	Skoda Fabia	80.0	13.9	161	24.4	49900	2008	5.0	1.4
230	Fiat 500L	120.0	12.8	1	14.9	199900	2017	5.0	1.4
231	Hyundai i40	115.0	12.9	49	23.3	159000	2014	5.0	1.7
232	Mazda 2	90.0	9.4	99	22.2	119900	2015	5.0	1.5
233	Skoda Fabia	90.0	10.9	13	21.3	149900	2017	5.0	1.2
234	Nissan Note	80.0	13.7	10	21.3	134900	2016	5.0	1.2
235	Peugeot 208	100.0	10.7	4	33.3	149900	2017	5.0	1.6
236	Opel Insignia	160.0	9.9	38	22.2	194900	2012	5.0	2.0
237	Nissan X	163.0	9.7	14	15.6	359900	2016	5.0	1.6
238	Mercedes C220	170.0	7.6	20	22.7	409900	2017	5.0	2.2
239	Volvo V40	120.0	10.5	25	29.4	277777	2017	5.0	2.0
240	Renault Kadjar	110.0	11.9	10	26.3	244900	2016	5.0	1.5
241	BMW X5	258.0	6.9	42	16.1	799900	2014	5.0	3.0
242	VW Golf	105.0	11.9	82	23.8	118500	2011	5.0	1.6
243	Opel Corsa	95.0	11.9	10	28.6	154900	2017	5.0	1.3
244	Skoda Citigo	60.0	14.4	11	22.7	109900	2015	5.0	1.0
245	Nissan Qashqai	130.0	9.9	8	21.7	299800	2016	5.0	1.6
246	Mazda CX	150.0	9.2	41	21.7	319900	2015	5.0	2.2
247	BMW X1	177.0	8.3	138	16.9	209900	2010	5.0	2.0
248	Volvo S40	122.0	10.5	249	12.3	26900	2002	4.0	1.8
249	Volvo V60	190.0	8.6	81	17.5	364700	2016	5.0	2.4
250	Fiat 500	69.0	12.9	83	19.6	69800	2013	3.0	1.2
251	Kia Ceed	136.0	10.5	10	25.6	204900	2017	5.0	1.6
252	Audi A4	150.0	9.5	75	20.4	309900	2014	5.0	2.0
253	Toyota Yaris	100.0	12.0	28	19.92199619113573	144800	2016	5.0	1.5
254	Toyota Auris	116.0	10.1	7	21.3	189900	2015	5.0	1.2
255	Mercedes CLA200	136.0	9.0	14	25.0	399900	2017	4.0	2.2
256	BMW 320d	184.0	7.6	63	21.3	419700	2014	5.0	2.0
257	Skoda Fabia	95.0	10.6	3	22.7	175900	2018	5.0	1.0
258	Audi A3	150.0	8.1	76	21.3	229900	2014	5.0	2.0
259	Nissan X	177.0	10.0	8	16.4	429900	2017	5.0	2.0
260	VW Up	60.0	14.4	15	24.4	104800	2017	5.0	1.0
261	Peugeot 207	109.0	10.3	199	20.0	37900	2007	5.0	1.6
262	Nissan Qashqai	110.0	12.4	13	26.3	239700	2017	5.0	1.5
263	Audi A4	150.0	9.1	133	20.8	274700	2014	4.0	2.0
264	Nissan Qashqai	110.0	12.4	13	26.3	239700	2017	5.0	1.5
265	Audi A4	150.0	9.1	133	20.8	274700	2014	4.0	2.0
266	BMW 320d	184.0	8.0	108	20.4	289900	2014	5.0	2.0
267	Ford C	120.0	11.3	58	24.4	184800	2015	5.0	1.5
268	Kia Venga	115.0	11.1	114	22.2	79800	2011	5.0	1.6
269	Renault Kadjar	110.0	11.9	5	26.3	244900	2016	5.0	1.5
270	Volvo XC60	181.0	9.9	28	15.6	529900	2015	5.0	2.4
271	Nissan X	130.0	11.4	61	19.6	254700	2015	5.0	1.6
272	Mercedes C43	367.0	4.8	16	12.0	1099900	2017	2.0	3.0
273	Audi A6	320.0	5.2	41	16.1	799900	2015	5.0	3.0
274	Mazda 323F	89.0	14.5	189	12.2	19900	2001	5.0	1.5
275	Ford Galaxy	163.0	9.8	235	18.5	134900	2012	5.0	2.0
276	Renault Grand	130.0	10.266262975778547	196	17.9	88888	2010	5.0	1.9
277	Nissan Qashqai	115.0	10.6	3	17.2	269900	2017	5.0	1.2
278	Toyota Verso	147.0	10.4	7	14.9	279900	2016	5.0	1.8
279	Ford S	163.0	10.2	223	16.7	179800	2013	5.0	2.0
280	Mercedes C220	170.0	7.6	63	22.7	399900	2015	5.0	2.2
281	Nissan Qashqai	110.0	12.4	96	26.3	184900	2014	5.0	1.5
282	Dacia Duster	109.0	12.2	2	22.7	169900	2016	5.0	1.5
283	VW Multivan	174.0	12.2	359	12.5	119900	2004	5.0	2.5
284	Mercedes C43	367.0	4.8	14	12.7	969900	2016	5.0	3.0
285	Renault Megane	110.0	12.1	108	23.8	149800	2014	5.0	1.5
286	Renault Megane	110.0	10.266262975778547	131	14.5	54900	2004	2.0	1.6
287	Peugeot 3008	120.0	11.2	10	26.3	299900	2017	5.0	1.6
288	VW Passat	122.0	10.6	133	16.4	149800	2011	5.0	1.4
289	Skoda Octavia	150.0	10.266262975778547	5	20.0	299900	2018	5.0	1.5
290	Peugeot 207	68.0	11.5	258	21.7	28900	2006	5.0	1.4
291	Hyundai i30	100.0	13.2	69	17.9	109800	2013	5.0	1.4
292	BMW 318i	113.0	11.5	174	12.1	44900	1998	4.0	1.8
293	Alfa Romeo	150.0	8.2	18	18.2	229800	2016	5.0	1.4
294	VW Golf	125.0	9.9	42	18.5	224900	2015	5.0	1.4
295	Toyota Verso	147.0	10.4	77	14.7	184900	2013	5.0	1.8
296	Ford Focus	100.0	12.5	73	21.3	139800	2013	5.0	1.0
297	Dacia Duster	109.0	12.2	2	22.7	159900	2016	5.0	1.5
298	Mercedes E43	401.0	4.6	10	11.9	1149900	2016	4.0	3.0
299	Peugeot 107	68.0	13.5	92	23.3	49700	2012	5.0	1.0
300	BMW 330d	258.0	5.7	177	19.6	399900	2014	5.0	3.0
301	VW Passat	150.0	8.9	91	24.4	259900	2015	5.0	2.0
302	Kia Niro	141.0	10.8	0	19.92199619113573	284999	2018	5.0	1.6
303	VW Passat	160.0	8.7	192	14.5	154900	2011	5.0	1.8
304	Mercedes E200	136.0	11.1	136	16.4	299900	2011	5.0	2.2
305	Citroën C3	110.0	10.4	10	21.7	149900	2017	5.0	1.2
306	Volvo V90	190.0	8.5	51	22.2	537000	2017	5.0	2.0
307	VW Sharan	140.0	10.9	179	17.5	309900	2013	5.0	2.0
308	Mercedes A200	136.0	9.3	119	23.8	214900	2014	5.0	2.2
310	Opel Astra	150.0	8.9	3	19.6	264900	2017	5.0	1.4
311	Audi S5	333.0	5.1	30	13.0	699900	2015	5.0	3.0
312	Volvo S60	140.0	10.2	180	11.4	99999	2009	4.0	2.4
313	Porsche 911	285.0	10.266262975778547	135	19.92199619113573	695000	1997	2.0	3.6
314	Renault Kadjar	110.0	11.9	25	26.3	229900	2016	5.0	1.5
315	BMW 528i	245.0	6.3	84	16.4	422000	2015	4.0	2.0
316	BMW 525d	218.0	7.0	97	20.0	459900	2013	4.0	2.0
317	Peugeot 3008	120.0	11.2	17	26.3	299900	2016	5.0	1.6
318	Nissan Juke	110.0	11.2	66	19.6	114900	2011	5.0	1.5
319	Seat Ibiza	75.0	13.9	144	29.4	54500	2013	5.0	1.2
320	Audi A4	240.0	6.4	139	14.1	279900	2009	5.0	3.0
321	Renault Megane	110.0	11.3	9	30.3	184900	2016	5.0	1.5
322	Mercedes A180	122.0	8.9	11	18.2	259900	2017	5.0	1.6
323	Honda HR	120.0	10.0	43	25.0	229700	2016	5.0	1.6
324	Peugeot 208	100.0	10.7	24	33.3	114900	2016	5.0	1.6
325	Mercedes E220	170.0	8.6	425	18.5	354900	2014	5.0	2.2
326	Seat Ibiza	85.0	11.8	104	16.9	54900	2010	3.0	1.4
327	Hyundai i20	100.0	10.7	10	23.3	134900	2016	5.0	1.0
328	BMW 330e	252.0	6.1	19	19.92199619113573	439900	2016	4.0	2.0
329	Renault Scenic	110.0	12.4	9	25.6	249900	2017	5.0	1.5
330	Ford Mondeo	150.0	9.3	28	24.4	269500	2015	5.0	2.0
331	Nissan Qashqai	115.0	12.9	8	17.9	304900	2018	5.0	1.2
332	BMW 520d	190.0	8.0	36	22.2	449900	2015	5.0	2.0
333	Mazda 3	105.0	12.2	61	15.6	124900	2012	5.0	1.6
334	Suzuki Swift	90.0	12.3	21	23.3	114900	2016	5.0	1.2
336	Honda Civic	142.0	9.7	87	16.4	129900	2012	5.0	1.8
337	Toyota Avensis	147.0	9.7	7	15.4	279900	2016	5.0	1.8
338	Skoda Rapid	86.0	11.8	36	20.4	134900	2015	5.0	1.2
339	Renault Kadjar	130.0	10.1	9	17.9	244900	2017	5.0	1.2
340	Ford B	125.0	11.2	8	20.4	194900	2017	5.0	1.0
341	Opel Astra	140.0	9.9	39	17.9	154900	2013	4.0	1.4
342	Mercedes CLS500	388.0	5.4	139	8.5	299900	2007	4.0	5.5
343	Skoda Octavia	105.0	10.3	78	20.4	169900	2015	5.0	1.2
345	Skoda Fabia	86.0	11.8	68	19.2	109700	2013	5.0	1.2
346	Mazda 2	115.0	8.7	0	20.4	189800	2017	5.0	1.5
347	Toyota Yaris	100.0	11.8	1	19.92199619113573	184900	2017	5.0	1.5
348	BMW 320d	184.0	7.5	87	22.2	257000	2015	4.0	2.0
349	Renault Kadjar	110.0	11.7	27	25.6	299900	2016	5.0	1.5
350	Opel Astra	136.0	10.1	32	25.6	279900	2017	5.0	1.6
351	Daewoo Nubira	109.0	11.4	260	12.8	9900	2005	5.0	1.6
352	Volvo V60	190.0	8.6	25	17.5	454900	2017	5.0	2.4
353	VW Passat	170.0	8.6	360	16.4	59900	2006	4.0	2.0
354	Skoda Octavia	110.0	11.1	29	26.3	279900	2017	5.0	1.6
355	Opel Astra	150.0	9.4	9	17.9	284900	2017	5.0	1.4
356	Opel Insignia	165.0	9.4	26	16.4	329900	2018	5.0	1.5
357	Audi A4	177.0	8.1	145	20.4	259900	2014	5.0	2.0
358	Renault Kadjar	110.0	11.9	10	26.3	254900	2017	5.0	1.5
359	Audi A6	177.0	8.5	109	19.6	339900	2014	5.0	2.0
360	VW The	105.0	11.7	27	17.2	259500	2014	2.0	1.2
361	Porsche Cayenne	240.0	7.8	177	13.5	499900	2010	5.0	3.0
362	BMW 525d	197.0	7.9	268	15.2	139900	2007	5.0	3.0
363	VW Golf	105.0	10.7	104	25.6	179900	2014	5.0	1.6
364	Mini One	102.0	10.1	7	20.8	220000	2017	5.0	1.2
365	Skoda Octavia	105.0	11.0	63	26.3	197900	2014	5.0	1.6
366	Opel Insignia	170.0	8.9	6	18.9	399900	2018	5.0	2.0
367	Renault Kadjar	130.0	10.1	11	17.9	234900	2017	5.0	1.2
368	Citroën C6	208.0	8.9	93	11.5	229900	2007	4.0	2.7
369	Peugeot 2008	82.0	13.5	78	20.4	134900	2015	5.0	1.2
370	Audi A4	272.0	5.4	14	19.6	739900	2016	5.0	3.0
371	Opel Insignia	160.0	9.9	105	19.6	159500	2012	5.0	2.0
372	VW Passat	150.0	8.6	7	19.6	379900	2016	5.0	1.4
