0	Car	HK	0-100	KM driven	KM/L	Price	Year	Doors	Motor
3111	BMW 530d	245.0	6.9	173	15.4	319900	2010	5.0	3.0
3112	DS DS	180.0	9.2	21	23.3	314900	2015	5.0	2.0
3113	Mercedes C220	170.0	8.1	61	25.0	369900	2014	4.0	2.2
3114	Skoda Octavia	115.0	10.1	15	24.4	249900	2018	5.0	1.6
3115	Opel Astra	105.0	11.7	5	23.3	209900	2017	5.0	1.0
3116	Audi A6	190.0	8.5	66	22.7	529900	2015	5.0	2.0
3117	VW Polo	90.0	10.8	11	21.3	164800	2017	5.0	1.2
3118	Volvo V60	181.0	7.6	62	26.3	299700	2015	5.0	2.0
3119	Ford S	140.0	10.2	112	17.9	239900	2012	5.0	2.0
3120	BMW 435i	306.0	5.0	44	12.0	689900	2015	5.0	3.0
3121	Citroën C3	82.0	12.3	37	23.3	99990	2016	5.0	1.2
3122	VW Touareg	262.0	7.3	39	15.2	749900	2015	5.0	3.0
3123	Mercedes E63	557.0	3.8	59	9.5	1249900	2014	5.0	5.5
3124	Skoda Octavia	140.0	9.6	217	18.9	99900	2011	5.0	2.0
3125	Volvo V60	190.0	7.3	8	17.2	424900	2018	5.0	2.0
3126	Hyundai i30	100.0	13.2	53	17.9	129900	2012	5.0	1.4
3127	Ford Focus	95.0	12.5	15	23.8	159900	2011	5.0	1.6
3128	Peugeot 2008	100.0	11.3	13	28.6	169900	2017	5.0	1.6
3129	Opel Corsa	90.0	13.2	11	20.0	134900	2016	5.0	1.4
3130	Mercedes S63	525.0	9.891626113304564	113	20.24215407216968	749900	2007	4.0	6.3
3131	Opel Corsa	85.0	13.6	25	19.6	119900	2014	5.0	1.2
3132	Citroën Grand	120.0	13.6	2	25.0	244800	2017	5.0	1.6
3133	Toyota Auris	126.0	10.3	96	19.2	114800	2011	5.0	2.0
3134	Seat Arona	115.0	11.1	3	20.0	264318	2018	5.0	1.0
3135	Mitsubishi Space	80.0	11.7	28	23.3	79900	2015	5.0	1.2
3136	Porsche Macan	400.0	4.8	0	10.9	2229968	2018	5.0	3.6
3137	Toyota Avensis	132.0	10.6	186	15.2	119800	2010	5.0	1.6
3138	BMW 530d	245.0	6.9	173	15.4	319900	2010	5.0	3.0
3139	DS DS	180.0	9.2	21	23.3	314900	2015	5.0	2.0
3140	Opel Insignia	140.0	12.2	105	12.8	129900	2010	5.0	1.8
3141	Mercedes C220	170.0	8.1	61	25.0	369900	2014	4.0	2.2
3142	Skoda Octavia	115.0	10.1	15	24.4	249900	2018	5.0	1.6
3143	Opel Astra	105.0	11.7	5	23.3	209900	2017	5.0	1.0
3144	Audi A6	190.0	8.5	66	22.7	529900	2015	5.0	2.0
3145	VW Polo	90.0	10.8	11	21.3	164800	2017	5.0	1.2
3146	Volvo V60	181.0	7.6	62	26.3	299700	2015	5.0	2.0
3147	Ford S	140.0	10.2	112	17.9	239900	2012	5.0	2.0
3148	BMW 435i	306.0	5.0	44	12.0	689900	2015	5.0	3.0
3149	Citroën C3	82.0	12.3	37	23.3	99990	2016	5.0	1.2
3150	VW Touareg	262.0	7.3	39	15.2	749900	2015	5.0	3.0
3151	Mercedes E63	557.0	3.8	59	9.5	1249900	2014	5.0	5.5
3152	Skoda Octavia	140.0	9.6	217	18.9	99900	2011	5.0	2.0
3153	Volvo V60	190.0	7.3	8	17.2	424900	2018	5.0	2.0
3154	Hyundai i30	100.0	13.2	53	17.9	129900	2012	5.0	1.4
3155	Ford Focus	95.0	12.5	15	23.8	159900	2011	5.0	1.6
3156	Peugeot 2008	100.0	11.3	13	28.6	169900	2017	5.0	1.6
3157	Opel Corsa	90.0	13.2	11	20.0	134900	2016	5.0	1.4
3158	Mercedes S63	525.0	9.891626113304564	113	20.24215407216968	749900	2007	4.0	6.3
3159	Opel Corsa	85.0	13.6	25	19.6	119900	2014	5.0	1.2
3160	Citroën Grand	120.0	13.6	2	25.0	244800	2017	5.0	1.6
3161	Toyota Auris	126.0	10.3	96	19.2	114800	2011	5.0	2.0
3162	Seat Arona	115.0	11.1	3	20.0	264318	2018	5.0	1.0
